orig_fips,county_state,total_out_exemptions
39085,"Lake County, Ohio",5525
17143,"Peoria County, Illinois",5507
12113,"Santa Rosa County, Florida",5490
33013,"Merrimack County, New Hampshire",5481
24017,"Charles County, Maryland",5456
16027,"Canyon County, Idaho",5441
05007,"Benton County, Arkansas",5432
22015,"Bossier Parish, Louisiana",5432
12109,"St. Johns County, Florida",5381
29165,"Platte County, Missouri",5283
39133,"Portage County, Ohio",5283
37035,"Catawba County, North Carolina",5274
48309,"McLennan County, Texas",5250
25015,"Hampshire County, Massachusetts",5232
26045,"Eaton County, Michigan",5229
51177,"Spotsylvania County, Virginia",5211
04025,"Yavapai County, Arizona",5180
02090,"Fairbanks North Star Borough, Alaska",5162
48381,"Randall County, Texas",5142
13059,"Clarke County, Georgia",5115
37057,"Davidson County, North Carolina",5113
45013,"Beaufort County, South Carolina",5087
13021,"Bibb County, Georgia",5066
21015,"Boone County, Kentucky",5059
36083,"Rensselaer County, New York",5047
45083,"Spartanburg County, South Carolina",5036
55101,"Racine County, Wisconsin",5036
21047,"Christian County, Kentucky",5025
45051,"Horry County, South Carolina",5024
41029,"Jackson County, Oregon",5019
18063,"Hendricks County, Indiana",5015
39103,"Medina County, Ohio",4971
04015,"Mohave County, Arizona",4962
13247,"Rockdale County, Georgia",4937
48441,"Taylor County, Texas",4935
09005,"Litchfield County, Connecticut",4921
13139,"Hall County, Georgia",4917
27145,"Stearns County, Minnesota",4914
39099,"Mahoning County, Ohio",4896
18157,"Tippecanoe County, Indiana",4876
48139,"Ellis County, Texas",4865
50007,"Chittenden County, Vermont",4865
48183,"Gregg County, Texas",4826
26093,"Livingston County, Michigan",4822
12005,"Bay County, Florida",4811
48099,"Coryell County, Texas",4781
12015,"Charlotte County, Florida",4777
18127,"Porter County, Indiana",4775
09013,"Tolland County, Connecticut",4758
35043,"Sandoval County, New Mexico",4754
18163,"Vanderburgh County, Indiana",4753
39173,"Wood County, Ohio",4721
19113,"Linn County, Iowa",4712
13117,"Forsyth County, Georgia",4690
36093,"Schenectady County, New York",4677
19103,"Johnson County, Iowa",4659
37085,"Harnett County, North Carolina",4610
53077,"Yakima County, Washington",4592
06089,"Shasta County, California",4589
47165,"Sumner County, Tennessee",4573
04001,"Apache County, Arizona",4571
51770,"Roanoke city, Virginia",4569
53073,"Whatcom County, Washington",4569
06025,"Imperial County, California",4511
51003,"Albemarle County, Virginia",4509
55059,"Kenosha County, Wisconsin",4483
13179,"Liberty County, Georgia",4440
18039,"Elkhart County, Indiana",4436
29019,"Boone County, Missouri",4428
33017,"Strafford County, New Hampshire",4419
13113,"Fayette County, Georgia",4416
41017,"Deschutes County, Oregon",4414
04003,"Cochise County, Arizona",4412
06031,"Kings County, California",4404
28121,"Rankin County, Mississippi",4392
27139,"Scott County, Minnesota",4373
17167,"Sangamon County, Illinois",4370
48367,"Parker County, Texas",4357
38017,"Cass County, North Dakota",4340
51161,"Roanoke County, Virginia",4335
37101,"Johnston County, North Carolina",4323
